ID,_labels,Subcommunity,Chamber,Community,name,party,state,_start,_end,_type
7906,:Legislator:SenateCluster1:SenateCluster1Sub1:Senator,49,Senate,31,Michael B. Enzi,R,WY,,,
7908,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Benjamin L. Cardin,D,MD,,,
7910,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Lamar Alexander,R,TN,,,
7912,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Al Franken,D,MN,,,
7914,:Legislator:SenateCluster1:SenateCluster1Sub1:Senator,49,Senate,31,Michael D. Crapo,R,ID,,,
7916,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Jerry Moran,R,KS,,,
7918,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Charles Ernest Grassley,R,IA,,,
7920,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Timothy Kaine,D,VA,,,
7922,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Ron Wyden,D,OR,,,
7924,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Jeff Merkley,D,OR,,,
7926,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Cory Gardner,R,CO,,,
7929,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Angus King,I,ME,,,
7931,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Lisa Murkowski,R,AK,,,
7934,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,John Cornyn,R,TX,,,
7936,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Tom Udall,D,NM,,,
7938,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Shelley Moore Capito,R,WV,,,
7940,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Deb Fischer,R,NE,,,
7942,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Orrin Grant Hatch,R,UT,,,
7944,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Brian Schatz,D,HI,,,
7946,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,John Hoeven,R,ND,,,
7949,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Richard Blumenthal,D,CT,,,
7951,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Maria Cantwell,D,WA,,,
7953,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Tammy Baldwin,D,WI,,,
7955,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Christopher Murphy,D,CT,,,
7957,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Johnny Isakson,R,GA,,,
7959,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Rob Portman,R,OH,,,
7962,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Jeff Flake,R,AZ,,,
7964,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Bob Casey,D,PA,,,
7967,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Susan Margaret Collins,R,ME,,,
7970,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Mike Lee,R,UT,,,
7973,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Steve Daines,R,MT,,,
7975,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Pat Roberts,R,KS,,,
7978,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Dianne Feinstein,D,CA,,,
7980,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Martin Heinrich,D,NM,,,
7983,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Edward J. Markey,D,MA,,,
7985,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Joni Ernst,R,IA,,,
7988,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Kirsten E. Gillibrand,D,NY,,,
7990,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Ron Johnson,R,WI,,,
7992,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Marco Rubio,R,FL,,,
7994,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Michael F. Bennet,D,CO,,,
7998,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Patty Murray,D,WA,,,
8000,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Dean Heller,R,NV,,,
8002,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Richard Burr,R,NC,,,
8005,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Margaret Wood Hassan,D,NH,,,
8008,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Tammy Duckworth,D,IL,,,
8011,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Roger F. Wicker,R,MS,,,
8016,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Mazie K. Hirono,D,HI,,,
8018,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Clarence William Nelson,D,FL,,,
8020,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,John Neely Kennedy,R,LA,,,
8023,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Ted Cruz,R,TX,,,
8028,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Sherrod Brown,D,OH,,,
8031,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Claire Mccaskill,D,MO,,,
8033,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Gary C. Peters,D,MI,,,
8045,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Bernard Sanders,I,VT,,,
8047,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Joe Manchin,D,WV,,,
8056,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Pat Toomey,R,PA,,,
8073,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Thomas R. Carper,D,DE,,,
8084,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Christopher A. Coons,D,DE,,,
8086,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Jon Tester,D,MT,,,
8091,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Jeanne Shaheen,D,NH,,,
8093,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Heidi Heitkamp,D,ND,,,
8109,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Luther Strange,R,AL,,,
8111,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Rand Paul,R,KY,,,
8114,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Dan Sullivan,R,AK,,,
8119,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Bill Cassidy,R,LA,,,
8121,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,James Lankford,R,OK,,,
8124,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Elizabeth A. Warren,D,MA,,,
8131,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Cory A. Booker,D,NJ,,,
8136,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,John R. Thune,R,SD,,,
8140,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Robert Menendez,D,NJ,,,
8149,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Roy Blunt,R,MO,,,
8163,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Mark R. Warner,D,VA,,,
8167,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Richard J. Durbin,D,IL,,,
8174,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Patrick Joseph Leahy,D,VT,,,
8184,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Todd C. Young,R,IN,,,
8186,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Joe Donnelly,D,IN,,,
8188,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Sheldon Whitehouse,D,RI,,,
8198,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Mike Rounds,R,SD,,,
8211,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Tom Cotton,R,AR,,,
8219,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Lindsey O. Graham,R,SC,,,
8243,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Amy Klobuchar,D,MN,,,
8245,:Legislator:SenateCluster1:SenateCluster1Sub1:Senator,49,Senate,31,John Barrasso,R,WY,,,
8272,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Deborah Ann Stabenow,D,MI,,,
8280,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Thad Cochran,R,MS,,,
8287,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Jim Inhofe,R,OK,,,
8300,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,John Boozman,R,AR,,,
8305,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Tim Scott,R,SC,,,
8321,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,John Sidney Mccain,R,AZ,,,
8413,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Charles E. Schumer,D,NY,,,
8428,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,John F. Reed,D,RI,,,
8460,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Thomas Roland Tillis,R,NC,,,
8474,:Legislator:SenateCluster1:SenateCluster1Sub1:Senator,49,Senate,31,James E. Risch,R,ID,,,
8495,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Kamala D. Harris,D,CA,,,
8647,:Legislator:SenateCluster2:SenateCluster2Sub1:Senator,16,Senate,34,Chris Van Hollen,D,MD,,,
8703,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Bob Corker,R,TN,,,
8738,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Richard Craig Shelby,R,AL,,,
8780,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Ben Sasse,R,NE,,,
8848,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Mitch Mcconnell,R,KY,,,
8904,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Catherine Cortez Masto,D,NV,,,
9066,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,David Alfred Perdue,R,GA,,,
9647,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Tina Smith,D,MN,,,
10112,:Legislator:SenateCluster2:SenateCluster2Sub2:Senator,29,Senate,34,Doug Jones,D,AL,,,
10167,:Legislator:SenateCluster1:SenateCluster1Sub3:Senator,43,Senate,31,Cindy Hyde-Smith,R,MS,,,
10937,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Jon Llewellyn Kyl,R,AZ,,,
16996,:Legislator:SenateCluster1:SenateCluster1Sub2:Senator,26,Senate,31,Jeff Sessions,R,AL,,,